tool_name,scenario_id,mapping,change_type,execution_status,status_detail,expected_file_count,actual_file_count,missing_files,extra_files,expected_line_count,actual_line_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,sequence_agreement,exact_oracle_match,syntactic_valid,syntax_validator,syntax_detail,compiles,scenario_tests_pass,complete_textual_resolution
FSTMerge,scenario_1,1:1,structural,completed_clean,process completed with a readable output tree,1,3,,People.java;Person.java,50,237,49,188,1,0.20675105485232068,0.98,0.34146341463414637,0.20675105485232068,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_5,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,0,0,0,50,,0.0,,0.0,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_6,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,84,36,48,14,0.42857142857142855,0.72,0.5373134328358209,0.42857142857142855,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_10,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,51,90,36,54,15,0.4,0.7058823529411765,0.5106382978723405,0.4,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_11,1:1,behavioral,completed_clean,process completed with a readable output tree,1,1,,,113,164,89,75,24,0.5426829268292683,0.7876106194690266,0.6425992779783395,0.5365853658536586,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_17,1:N,structural,completed_clean,process completed with a readable output tree,2,3,,Person.java,50,80,48,32,2,0.6,0.96,0.7384615384615384,0.6,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_23,1:N,behavioral,completed_clean,process completed with a readable output tree,5,5,,,55,71,35,36,20,0.49295774647887325,0.6363636363636364,0.5555555555555555,0.4788732394366197,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_30,N:N,structural,completed_clean,process completed with a readable output tree,2,3,,UserContact.java,53,123,36,87,17,0.2926829268292683,0.6792452830188679,0.4090909090909091,0.2845528455284553,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
FSTMerge,scenario_38,N:N,behavioral,completed_clean,process completed with a readable output tree,1,1,,,174,160,100,60,74,0.625,0.5747126436781609,0.5988023952095808,0.47126436781609193,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
IntelliMerge,scenario_1,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
