scenario_id,title,base_description,left_description,right_description,merge_intent,acceptance_criteria,expected_files,associated_tests
scenario_1,Class Name Change,Common ancestor for the controlled 'Class Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Name Change' scenario; Java tree: [People.java].,Right branch for the controlled 'Class Name Change' scenario; Java tree: [Client.java].,Adopt Client as the resolved class name and update the constructor and textual representation consistently.,"The normalized output tree must contain exactly [Client.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Adopt Client as the resolved class name and update the constructor and textual representation consistently.",Client.java,none_defined
scenario_2,Variable Name Change,Common ancestor for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Keep the phone field name and incorporate the default phone value selected by the oracle.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Keep the phone field name and incorporate the default phone value selected by the oracle.",Person.java,none_defined
scenario_3,Attribute Name Change,Common ancestor for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Adopt getNumber and setNumber as the resolved phone accessor names.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Adopt getNumber and setNumber as the resolved phone accessor names.",Person.java,none_defined
scenario_4,Variable Type Change,Common ancestor for the controlled 'Variable Type Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Type Change' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Type Change' scenario; Java tree: [Person.java].,Preserve the String phone representation selected by the oracle instead of either incompatible numeric type change.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Preserve the String phone representation selected by the oracle instead of either incompatible numeric type change.",Person.java,none_defined
scenario_5,Class Removal,Common ancestor for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Right branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Preserve the Person class when one branch removes it and the other retains it.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Preserve the Person class when one branch removes it and the other retains it.",Person.java,none_defined
scenario_6,Class Addition,Common ancestor for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Add the Person class represented identically by both branches.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Add the Person class represented identically by both branches.",Person.java,none_defined
scenario_7,Variable Removal,Common ancestor for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Remove the email state and its accessors while retaining the name state selected by the oracle.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Remove the email state and its accessors while retaining the name state selected by the oracle.",Person.java,none_defined
scenario_8,Variable Addition,Common ancestor for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Combine the email and phone additions with their constructor parameters and accessors.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine the email and phone additions with their constructor parameters and accessors.",Person.java,none_defined
scenario_9,Attribute Removal,Common ancestor for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Remove the textual representation method while retaining the Person data fields and accessors.,"The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Remove the textual representation method while retaining the Person data fields and accessors.",Person.java,none_defined
scenario_10,Attribute Addition,Common ancestor for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,"Produce the complete Person API with full constructor, accessors, and textual representation.","The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Produce the complete Person API with full constructor, accessors, and textual representation.",Person.java,none_defined
