scenario_id,reviewer_id,review_round,oracle_decision,intent_preserved,complete_artifact_tree,no_unjustified_content,syntactically_valid,compilation_result,tests_result,assigned_mapping,assigned_change_type,comments,reviewed_at_utc
scenario_1,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"Cross-review confirms that Client is applied consistently to the filename, declaration, constructor, and textual representation.",2026-08-12T15:09:54Z
scenario_2,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"The oracle keeps the phone API and incorporates the right-side default value without mixing in the competing number rename.",2026-08-12T15:09:54Z
scenario_3,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"getNumber and setNumber consistently implement the selected accessor-name resolution over the existing phone field.",2026-08-12T15:09:54Z
scenario_4,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"Keeping the ancestral String representation is the stated coherent resolution of the incompatible Float and int changes.",2026-08-12T15:09:54Z
scenario_5,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"The complete Person artifact is retained according to the stated resolution when the left branch removes its contents.",2026-08-12T15:09:54Z
scenario_6,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"Both branches add the same Person implementation and the oracle reproduces the complete addition.",2026-08-12T15:09:54Z
scenario_7,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"Email removal is propagated through the field, constructor, and accessors while the selected name state remains intact.",2026-08-12T15:09:54Z
scenario_8,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"The compatible email and phone additions are represented in fields, constructor arguments, assignments, and accessors.",2026-08-12T15:09:54Z
scenario_9,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"The oracle removes only the selected textual representation and retains the Person data API.",2026-08-12T15:09:54Z
scenario_10,codex_reviewer_2,1,needs_revision,yes,yes,no,yes,not_run,not_applicable,1:1,structural,"The four-argument constructor in the oracle has no source in base, left, or right; revise the oracle or add non-circular evidence that authorizes this invented API.",2026-08-12T15:09:54Z
scenario_11,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,behavioral,"The oracle combines Builder-based creation and status persistence with Validator-based create and update checks.",2026-08-12T15:09:54Z
scenario_12,codex_reviewer_2,1,needs_revision,no,no,yes,yes,not_run,not_applicable,1:N,behavioral,"OrderService depends on AuditLogger and four validator classes supplied by the branches, but all five helper artifacts are absent; include them and correct the source filename/type inconsistencies.",2026-08-12T15:09:54Z
scenario_13,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,"The selected decomposition into Individual and ContactInfo is complete and internally consistent; the competing whole-class rename cannot coexist without replacing the chosen identity type.",2026-08-12T15:09:54Z
scenario_14,codex_reviewer_2,1,needs_revision,no,yes,yes,yes,not_run,not_applicable,1:N,structural,"Contrary to the first review, the left-side name-to-fullName change can be propagated directly to PersonalInfo, but the oracle copies the right decomposition with name/getName/setName unchanged.",2026-08-12T15:09:54Z
scenario_15,codex_reviewer_2,1,needs_revision,no,yes,yes,yes,not_run,not_applicable,1:N,structural,"The left-side getPhoneNumber/setPhoneNumber rename is compatible with the decomposition but is not propagated to ContactInfo; the oracle is identical to the right branch.",2026-08-12T15:09:54Z
scenario_16,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,"ContactData receives the selected PhoneNumber representation while Person retains identity state, avoiding the left branch's apparent syntax defect.",2026-08-12T15:09:54Z
scenario_17,codex_reviewer_2,1,needs_revision,no,yes,yes,no,not_run,not_applicable,1:N,structural,"Person.java declares and constructs public type PersonIdentity, violating the Java filename/type contract and failing the stated decision to retain Person consistently.",2026-08-12T15:09:54Z
scenario_18,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,"The empty base is resolved into the complete PersonBasicInfo and PersonContactInfo decomposition selected from the right branch.",2026-08-12T15:09:54Z
scenario_19,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,"Address removal is preserved while name is restored in CoreInfo and the contact fields remain in ExtendedInfo.",2026-08-12T15:09:54Z
scenario_20,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,"The email, phone, and social-media additions are preserved across the PersonId and PersonContact decomposition.",2026-08-12T15:09:54Z
scenario_21,codex_reviewer_2,1,needs_revision,no,yes,yes,yes,not_run,not_applicable,1:N,structural,"The left branch removes birthDate, but the oracle retains birthDate in Identity; propagate the removal through the selected decomposition.",2026-08-12T15:09:54Z
scenario_22,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,"The right-side BasicPerson/ExtendedPerson split is retained and the compatible left-side nationality addition is propagated to ExtendedPerson.",2026-08-12T15:09:54Z
scenario_23,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,behavioral,"The complete strategy artifact set is present and dispatch is coherently combined with logging, unsupported-type handling, and exception logging.",2026-08-12T15:09:54Z
scenario_24,codex_reviewer_2,1,needs_revision,no,yes,yes,yes,not_run,not_applicable,N:N,structural,"The oracle combines Client and Location but drops city, although city exists in base and left Address and is moved to right Individual; preserve it in the resolved model.",2026-08-12T15:09:54Z
scenario_25,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"The Person-to-User reorganization is selected while the complete ancestral Contact representation replaces the narrower PhoneContact artifact.",2026-08-12T15:09:54Z
scenario_26,codex_reviewer_2,1,needs_revision,yes,yes,yes,no,not_run,not_applicable,N:N,structural,"The selected Customer and Order field changes are present, but Custumer.java declares public class Customer; make the filename, public type, manifest, and oracle tree consistent.",2026-08-12T15:09:54Z
scenario_27,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"Division and Worker consistently implement the selected coupled reorganization and remove the inherited Departament.java filename/type mismatch.",2026-08-12T15:09:54Z
scenario_28,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"The oracle consistently applies the selected Person removal and retains Address rather than mixing in the competing DetailedAddress/Profile tree.",2026-08-12T15:09:54Z
scenario_29,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"Employee is retained while Organization and Position incorporate the selected right-side decomposition responsibilities.",2026-08-12T15:09:54Z
scenario_30,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"The selected Contact/Person model consistently propagates email removal instead of mixing it with the competing User/UserContact reorganization.",2026-08-12T15:09:54Z
scenario_31,codex_reviewer_2,1,needs_revision,no,yes,yes,yes,not_run,not_applicable,N:N,structural,"The oracle copies the right tree without mapping the compatible left additions Customer.email and Order.orderDate into Client and Purchase.",2026-08-12T15:09:54Z
scenario_32,codex_reviewer_2,1,needs_revision,no,no,yes,yes,not_run,not_applicable,N:N,structural,"Course plus StudentDetails loses the student's identity fields even though id and name/fullName survive in both branches; add a resolved identity artifact and update the declared tree.",2026-08-12T15:09:54Z
scenario_33,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,"The oracle consistently selects Profile/User and preserves the left-side email and joinDate additions over the competing Account/UserProfile model.",2026-08-12T15:09:54Z
scenario_34,codex_reviewer_2,1,needs_revision,no,yes,yes,yes,not_run,not_applicable,1:1,behavioral,"The oracle is identical to the right branch and discards the left premium price tiers; combine tiered discounts with the MAX_DISCOUNT cap.",2026-08-12T15:09:54Z
scenario_35,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,behavioral,"The 18-to-150 constraint subsumes the compatible left non-negative constraint and coherently resolves both validations.",2026-08-12T15:09:54Z
scenario_36,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,behavioral,"Singleton access and reset coexist coherently with the public driver-aware constructor and complete factory API.",2026-08-12T15:09:54Z
scenario_37,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,behavioral,"LinkedHashSet preserves uniqueness and deterministic order while defensive list and set views reconcile the incompatible getMembers return types.",2026-08-12T15:09:54Z
scenario_38,codex_reviewer_2,1,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,behavioral,"Configurable exception/boolean handling integrates username, email, password, business, logging, and range validations from both branches.",2026-08-12T15:09:54Z
scenario_39,codex_reviewer_2,1,needs_revision,no,yes,no,yes,not_run,not_applicable,N:N,behavioral,"Recurring configuration occurs after total calculation, so changed cycles and payment methods do not affect the current total; the oracle also invents unsupported compromise tax, hybrid bonuses, credit limits, and upgrade rules.",2026-08-12T15:09:54Z
