scenario_id,reviewer_id,review_round,oracle_decision,intent_preserved,complete_artifact_tree,no_unjustified_content,syntactically_valid,compilation_result,tests_result,assigned_mapping,assigned_change_type,comments,reviewed_at_utc
scenario_1,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"Client consistently resolves the competing class renames across filename, declaration, constructor, and textual representation.",2026-08-12T15:00:36Z
scenario_2,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,The oracle retains the phone field/API and incorporates the right-side default value without importing the competing number rename.,2026-08-12T15:00:36Z
scenario_3,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,getNumber and setNumber are applied consistently to the existing phone field and match the selected right-side resolution.,2026-08-12T15:00:36Z
scenario_4,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,Retaining the ancestral String representation is a coherent explicit resolution of the incompatible Float and int type changes.,2026-08-12T15:00:36Z
scenario_5,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,The complete Person artifact is retained as required when the other branch empties the file.,2026-08-12T15:00:36Z
scenario_6,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,Both branches add the same Person implementation and the oracle reproduces that addition exactly.,2026-08-12T15:00:36Z
scenario_7,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"The oracle applies the selected email removal consistently to the field, constructor, and accessors while retaining name state.",2026-08-12T15:00:36Z
scenario_8,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,"Email and phone additions are represented consistently in fields, constructor parameters, assignments, and accessors.",2026-08-12T15:00:36Z
scenario_9,codex_reviewer_1,1,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,Only the selected textual representation method is removed; the Person data fields and accessors remain intact.,2026-08-12T15:00:36Z
scenario_10,codex_reviewer_1,1,needs_revision,yes,yes,no,yes,not_run,not_applicable,1:1,structural,"The complete API matches the stated merge intent, but the four-argument constructor is absent from base, left, and right; add branch evidence or revise the oracle/acceptance criterion.",2026-08-12T15:00:36Z
