scenario_id,title,mapping,change_type,origin,base_description,left_description,right_description,merge_intent,acceptance_criteria,base_files,left_files,right_files,expected_files,artifact_file_count,logical_element_count,logical_elements,dependency_scope,validation_scope,associated_tests,mapping_basis,change_type_basis,oracle_review_status,classification_status
scenario_1,Class Name Change,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Class Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Name Change' scenario; Java tree: [People.java].,Right branch for the controlled 'Class Name Change' scenario; Java tree: [Client.java].,Adopt Client as the resolved class name and update the constructor and textual representation consistently.,"The normalized output tree must contain exactly [Client.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Adopt Client as the resolved class name and update the constructor and textual representation consistently.",Person.java,People.java,Client.java,Client.java,3,1,Class Name Change,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_2,Variable Name Change,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Keep the phone field name and incorporate the default phone value selected by the oracle.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Keep the phone field name and incorporate the default phone value selected by the oracle.",Person.java,Person.java,Person.java,Person.java,1,1,Variable Name Change,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_3,Attribute Name Change,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Adopt getNumber and setNumber as the resolved phone accessor names.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Adopt getNumber and setNumber as the resolved phone accessor names.",Person.java,Person.java,Person.java,Person.java,1,1,Attribute Name Change,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_4,Variable Type Change,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Type Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Type Change' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Type Change' scenario; Java tree: [Person.java].,Preserve the String phone representation selected by the oracle instead of either incompatible numeric type change.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Preserve the String phone representation selected by the oracle instead of either incompatible numeric type change.",Person.java,Person.java,Person.java,Person.java,1,1,Variable Type Change,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_5,Class Removal,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Right branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Preserve the Person class when one branch removes it and the other retains it.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Preserve the Person class when one branch removes it and the other retains it.",Person.java,Person.java,Person.java,Person.java,1,1,Class Removal,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_6,Class Addition,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Add the Person class represented identically by both branches.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Add the Person class represented identically by both branches.",Person.java,Person.java,Person.java,Person.java,1,1,Class Addition,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_7,Variable Removal,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Remove the email state and its accessors while retaining the name state selected by the oracle.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Remove the email state and its accessors while retaining the name state selected by the oracle.",Person.java,Person.java,Person.java,Person.java,1,1,Variable Removal,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_8,Variable Addition,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Combine the email and phone additions with their constructor parameters and accessors.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine the email and phone additions with their constructor parameters and accessors.",Person.java,Person.java,Person.java,Person.java,1,1,Variable Addition,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_9,Attribute Removal,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Remove the textual representation method while retaining the Person data fields and accessors.,"The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Remove the textual representation method while retaining the Person data fields and accessors.",Person.java,Person.java,Person.java,Person.java,1,1,Attribute Removal,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_10,Attribute Addition,1:1,structural,synthetic_controlled,Common ancestor for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,"Retain the branch-supported no-argument and two-argument constructors, complete accessors, and the left branch's textual representation without inventing a new constructor.","The normalized output tree must contain exactly [Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the branch-supported no-argument and two-argument constructors, complete accessors, and the left branch's textual representation without inventing a new constructor.",Person.java,Person.java,Person.java,Person.java,1,1,Attribute Addition,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
