scenario_id,title,base_description,left_description,right_description,merge_intent,acceptance_criteria,expected_files,validation_scope,associated_tests
scenario_10,Attribute Addition,Common ancestor for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Right branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,"Retain the branch-supported no-argument and two-argument constructors, complete accessors, and the left branch's textual representation without inventing a new constructor.","The normalized output tree must contain exactly [Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the branch-supported no-argument and two-argument constructors, complete accessors, and the left branch's textual representation without inventing a new constructor.",Person.java,textual_structural_only,not_applicable
scenario_12,Sales Validation,Common ancestor for the controlled 'Sales Validation' scenario; Java tree: [OrderServervice.java].,"Left branch for the controlled 'Sales Validation' scenario; Java tree: [CustomerValidator.java, ItemValidator.java, OrderService.java, PaymentValidator.java, ShippingValidator.java, ValidationExeption.java].","Right branch for the controlled 'Sales Validation' scenario; Java tree: [AuditLogger.java, OrderService.java].","Combine distributed order validation with audit logging and retain every validator, exception, and logger artifact required by the resolved OrderService workflow.","The normalized output tree must contain exactly [AuditLogger.java, CustomerValidator.java, ItemValidator.java, OrderService.java, PaymentValidator.java, ShippingValidator.java, ValidationException.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine distributed order validation with audit logging and retain every validator, exception, and logger artifact required by the resolved OrderService workflow.",AuditLogger.java;CustomerValidator.java;ItemValidator.java;OrderService.java;PaymentValidator.java;ShippingValidator.java;ValidationException.java,textual_structural_only,not_applicable
scenario_14,Variable Name Change,Common ancestor for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Name Change' scenario; Java tree: [ContactDetails.java, PersonalInfo.java].",Resolve the Person decomposition into PersonalInfo and ContactDetails while propagating the left branch's name-to-fullName change into PersonalInfo.,"The normalized output tree must contain exactly [ContactDetails.java, PersonalInfo.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the Person decomposition into PersonalInfo and ContactDetails while propagating the left branch's name-to-fullName change into PersonalInfo.",ContactDetails.java;PersonalInfo.java,textual_structural_only,not_applicable
scenario_15,Attribute Name Change,Common ancestor for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Name Change' scenario; Java tree: [ContactInfo.java, Individual.java].",Resolve the attribute reorganization across Individual and ContactInfo while propagating the left branch's getPhoneNumber and setPhoneNumber accessors into ContactInfo.,"The normalized output tree must contain exactly [ContactInfo.java, Individual.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the attribute reorganization across Individual and ContactInfo while propagating the left branch's getPhoneNumber and setPhoneNumber accessors into ContactInfo.",ContactInfo.java;Individual.java,textual_structural_only,not_applicable
scenario_17,Class Removal,Common ancestor for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Removal' scenario; Java tree: [ContactMethods.java, PersonIdentity.java].",Retain the right branch's PersonIdentity and ContactMethods decomposition despite the competing whole-class removal.,"The normalized output tree must contain exactly [ContactMethods.java, PersonIdentity.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the right branch's PersonIdentity and ContactMethods decomposition despite the competing whole-class removal.",ContactMethods.java;PersonIdentity.java,textual_structural_only,not_applicable
scenario_21,Attribute Removal,Common ancestor for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Removal' scenario; Java tree: [Contact.java, Identity.java].",Resolve the decomposition into Identity and Contact while propagating the left branch's removal of birthDate.,"The normalized output tree must contain exactly [Contact.java, Identity.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the decomposition into Identity and Contact while propagating the left branch's removal of birthDate.",Contact.java;Identity.java,textual_structural_only,not_applicable
scenario_24,Person + Address Reorganization,"Common ancestor for the controlled 'Person + Address Reorganization' scenario; Java tree: [Address.java, Person.java].","Left branch for the controlled 'Person + Address Reorganization' scenario; Java tree: [Address.java, Client.java].","Right branch for the controlled 'Person + Address Reorganization' scenario; Java tree: [Individual.java, Location.java].",Resolve the coupled Person-to-Client and Address-to-Location reorganization while preserving city in Location.,"The normalized output tree must contain exactly [Client.java, Location.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Person-to-Client and Address-to-Location reorganization while preserving city in Location.",Client.java;Location.java,textual_structural_only,not_applicable
scenario_26,Customer and Order Fields Change,"Common ancestor for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Custumer.java, Order.java].","Left branch for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Custumer.java, Order.java].","Right branch for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Client.java, Purchase.java].",Integrate the selected Customer and Order field changes using Java filenames consistent with their public types.,"The normalized output tree must contain exactly [Customer.java, Order.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Integrate the selected Customer and Order field changes using Java filenames consistent with their public types.",Customer.java;Order.java,textual_structural_only,not_applicable
scenario_31,Customer + Order to Client + Item,"Common ancestor for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Order.java, Person.java].","Left branch for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Custumer.java, Order.java].","Right branch for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Client.java, Item.java, Purchase.java].","Resolve Customer and Order into Client, Item, and Purchase while propagating email into Client and orderDate into Purchase.","The normalized output tree must contain exactly [Client.java, Item.java, Purchase.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve Customer and Order into Client, Item, and Purchase while propagating email into Client and orderDate into Purchase.",Client.java;Item.java;Purchase.java,textual_structural_only,not_applicable
scenario_32,Student + Course to Learner + Program,"Common ancestor for the controlled 'Student + Course to Learner + Program' scenario; Java tree: [Course.java, Student.java].","Left branch for the controlled 'Student + Course to Learner + Program' scenario; Java tree: [Course.java, Student.java].","Right branch for the controlled 'Student + Course to Learner + Program' scenario; Java tree: [Learner.java, Program.java, StudentDetails.java].","Retain Course, preserve student identity in Learner, and retain the separate StudentDetails artifact.","The normalized output tree must contain exactly [Course.java, Learner.java, StudentDetails.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Course, preserve student identity in Learner, and retain the separate StudentDetails artifact.",Course.java;Learner.java;StudentDetails.java,textual_structural_only,not_applicable
scenario_34,Logic Change in calculateDiscount,Common ancestor for the controlled 'Logic Change in calculateDiscount' scenario; Java tree: [PriceCalculator.java].,Left branch for the controlled 'Logic Change in calculateDiscount' scenario; Java tree: [PriceCalculator.java].,Right branch for the controlled 'Logic Change in calculateDiscount' scenario; Java tree: [PriceCalculator.java].,Combine the left branch's tiered premium discounts with the right branch's MAX_DISCOUNT cap.,"The normalized output tree must contain exactly [PriceCalculator.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine the left branch's tiered premium discounts with the right branch's MAX_DISCOUNT cap.",PriceCalculator.java,textual_structural_only,not_applicable
scenario_39,Recurring Billing and Subscription,"Common ancestor for the controlled 'Recurring Billing and Subscription' scenario; Java tree: [Customer.java, Order.java, OrderProcessor.java].","Left branch for the controlled 'Recurring Billing and Subscription' scenario; Java tree: [Customer.java, LoyaltyManager.java, Order.java, OrderProcessor.java].","Right branch for the controlled 'Recurring Billing and Subscription' scenario; Java tree: [BillingManager.java, Customer.java, Order.java, OrderProcessor.java, SubscriptionManager.java].","Integrate the branch-defined loyalty and subscription behaviors without invented cross-system bonuses: use the larger branch-defined customer discount, configure recurring billing before total calculation, retain the right branch's 12 percent service tax, and keep loyalty and subscription upgrades independent.","The normalized output tree must contain exactly [BillingManager.java, Customer.java, LoyaltyManager.java, Order.java, OrderProcessor.java, SubscriptionManager.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Integrate the branch-defined loyalty and subscription behaviors without invented cross-system bonuses: use the larger branch-defined customer discount, configure recurring billing before total calculation, retain the right branch's 12 percent service tax, and keep loyalty and subscription upgrades independent.",BillingManager.java;Customer.java;LoyaltyManager.java;Order.java;OrderProcessor.java;SubscriptionManager.java,textual_structural_only,not_applicable
